歌曲名,时长,作者,专辑
ㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㄴㄴㅁㄹㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤ,3:37,ㅤɴㅤᴇㅤᴀㅤʟㅤ,ㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㄴㄴㅁㄹㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤ
░░_Ｓｐｒｉｎｇｔｉｍｅ  Ｓｔｒｏｌｌ_Westminster Quarters =Ⓣɪᴍᴇ ➋ Ⓜᴇᴇᴛ,1:25,secret crates,░░//Ｓｐｒｉｎｇｔｉｍｅ Ｓｔｒｏｌｌ//Westminster Quarters =Ⓣɪᴍᴇ ➋ Ⓜᴇᴇᴛ
ㅤㅤ,4:16,KΛGWΣ,ㅤㅤ
s̶̨̞̘̻̬̞̝͔͈̱͓̫☏ѧѦ ѧ︵  ̢ ̱ ̧̱ι̵̱̊ι̶̨̱s̶̨̞̘̻̬̞̝͔͈̱͓̫ ̶̱Ѧѧ  ѧ   ̵̗̊o̵̖ Ѧ ✉✍s̶̨̞̘̻̬̞̝͔͈̱͓̫,2:45,JOURNAL,s̶̨̞̘̻̬̞̝͔͈̱͓̫☏ѧѦ ѧ︵ ̢ ̱ ̧̱ι̵̱̊ι̶̨̱s̶̨̞̘̻̬̞̝͔͈̱͓̫ ̶̱Ѧѧ ѧ ̵̗̊o̵̖ Ѧ ✉✍s̶̨̞̘̻̬̞̝͔͈̱͓̫
-̡̙̙͇̺̤͓̀͜-̧̛̗̕-͏̪̥̩,1:8,l o k a !,-̡̙̙͇̺̤͓̀͜-̧̛̗̕-͏̪̥̩
☂,1:57,COSMASTLY,☂
❁,2:11,Vader Roze,❁
眠りにつくまで,4:34,豆屋,幽香添い寝CD
悠哉山歌大王(Extended),2:58,红龙果奶,悠哉山歌大王(Extended)
岁月的童话(爱は花 君はその种子 remix),3:48,三册柏,岁月的童话
【Free】無比失落の章魚哥,3:15,账号已作废,账号已转移
SOS,2:37,Avicii,Tropical Summer
Weyrleader,2:17,Maga AQ,Weyrleader
黄梅戏 (抖音DJ版) (翻自 慕容晓晓),5:54,Kag Chuu,黄梅戏 (抖音DJ版)
葫芦金刚,0:38,王迟,记忆的符号-中国电影百年寻音集 CD19
F.U.N. Song,1:41,SpongeBob Squarepants,SpongeBob's Greatest Hits
Y.M.C.A.,2:55,The Minions,Despicable Me 2 (Original Motion Picture Soundtrack)
Jingle Bells,2:54,SpongeBob Squarepants,The Yellow Album
Universal Fanfare,0:34,The Minions,Minions (Original Motion Picture Soundtrack)
Nick's B. Danube,0:34,SpongeBob Squarepants,The Yellow Album
Tom And Jerry,0:25,Bradley,Cartoon Medley
Hello Makka Pakka!,0:27,Andrew Davenport,In the Night Garden… A Musical Journey…The Album
SpongeBob Closing Theme,0:42,Various Artists,最新热歌慢摇90
Oh Lawd Challenge,2:55,DJ Suede The Remix God,Oh Lawd Challenge
Morning Dreams,2:24,OtravaMusic,Morning Dreams
探戈就是趟着走,2:22,还有一天就放假了,春晚鬼畜好声音
Sansa Lala,4:5,Kayaz,Sansa Lala
Early Morning Dreams (Kled Mone Remix),6:55,Kadebostany,Early Morning Dreams
我又想你了,0:53,于潼,我又想你了（demo）
果物の盛り合わせ,4:0,人见人爱的P老汉,果物の盛り合わせ
Time Back,2:34,Bad Style,最新热歌慢摇63
Believe AMG(Radio Edit),3:46,Storm_Official,Believe AMG(Radio Edit)
一个人过冬天（翻自 寻找幸福）,3:44,宋世贤,real hiphop
We Will Rock You,2:49,Max Raabe,we will rock you
Micmacs à la gare,1:14,Raphaël Beau,Micmacs à tire-larigot (Bande originale du film)
Fried Rice (ft. Onra),2:2,G-Eazy,Big
buttercup,3:28,Jack Stauber,buttercup
Bibbidi Bobbidi Boo,2:59,手嶌葵,"Miss AOI - Bonjour,Paris!"
Tribute (Dj Fernando Lopez Radio Edit),3:33,Lorenzo Ballerini Dj,Tribute
Bailemen Swing,4:25,The Shanghai Restoration Project,Mungbean Mash
Blowing in the Wind,2:46,Bob Dylan,Blowing in the Wind
The Evening Primrose (Shanghai Restoration Project Remix),3:9,The Shanghai Restoration Project,"The Shanghai Restoration Project - Remixed and Restored, Vol. 1"
GIAO！,1:24,倒悬的橘子,Giao！
leaping through time,2:13,stream_error,leaping through time
Sunflower Feelings,1:28,Kuzu Mellow,Sunflower Feelings
Zunea-Zunea,2:56,Cleopatra Stratan,La varsta de 5 ani
一直很安静,0:31,周泽楷,愿每个孤独的夜晚都有人相伴
李云龙：你猜旅长怎么说,1:52,树深时见鹿dear,树深时见鹿dear的鬼畜歌~
yellow,1:18,eel.,confession
It's Ok,3:17,DJ Maxwell,最新热歌慢摇69
ツナ覚醒,1:37,佐橋俊彦,最新热歌慢摇80
念诗之王,2:26,小可儿,赵本山也要喝旺仔牛奶
Drown (Alle Farben Remix),2:49,Martin Garrix,Drown (feat. Clinton Kane) (Alle Farben Remix)
駆け足マーチ,2:2,栗コーダーカルテット,つり球 オリジナル・サウンドトラック
giga pudding!,1:7,咸鱼,卟哩卟哩！
中间人,3:20,Ice Paper,中间人
Play Date,2:58,Metrixx,Summer Hits 2020
(It's Not About) Running,4:6,Tuvaband,(It's Not About) Running
骨折り損,1:47,神前暁,俺の妹がこんなに可爱いわけがない オリジナルサウンドトラック
Dream Land Days,3:17,Kirby's Dream Band,The Pink Album
saturdaycartoons,2:3,geerad,saturdaycartoons
whatever it takes,3:37,convolk,whatever it takes
Shooting Stars,3:47,Bag Raiders,Shooting Stars EP
The Party Troll,3:8,D1ofaquavibe,The Party Troll
The Happy Troll (Griefing Theme Song),3:10,D1ofaquavibe,The Happy Troll (Griefing Theme Song)
Glorious Morning,1:52,Waterflame,Community Favorites
Floorfiller,3:12,A*Teens,Greatest Hits
wish you were gay,3:41,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
情非得已-少女版（Cover 庾澄庆）,4:36,小奶喵kitty,情非得已-少女版（原唱：庾澄庆）
父亲写的散文诗,3:48,许飞,父亲写的散文诗
我想（Cover 余佳运）,4:8,大能人(雷智皓),我想（Cover)
I See You,3:48,Missio,I See You
有何不可,4:1,许嵩,自定义
幸你从未放弃,4:59,初夏小溪,幸你从未放弃
why do i love you,1:17,eel.,why do i love you
小巷酒馆（Cover 郑国锋 / 何曼婷）,3:34,安震南,小巷酒馆
浪漫空气,4:26,李明霖,浪漫空气
一瞬间,3:7,丽江小倩,倩语倩寻
我好想你,5:26,苏打绿,秋：故事
夏日忧郁 (DJ版),3:25,枫宇辰,墨尔本弹跳
Chance,3:33,Aspyer,Chance
Sunfly Karaoke-This Is What You Came For【Retro】（Chave remix）,4:10,Lee,Retro sentiments
ain't loyal (oshi's Version),2:5,OSHI,ain't loyal (oshi's Version)
Schnuffels Weihnachtslied,2:45,Schnuffel,Winterwunderland
Chenparty,2:44,Various Artists,最新热歌慢摇106
For The Win (Dance Remix),3:29,Two Steps From Hell,Burn
3055,5:26,Ólafur Arnalds,Eulogy for Evolution
Lie Low,2:55,Osho,Lie Low
Kiss Fight (feat. gnash),2:58,Tülpa,Kiss Fight (feat. gnash)
Limitless (feat. Sophie Rose),3:30,SAM F,Limitless (feat. Sophie Rose)
Monkeys Spinning Monkeys,2:5,Kevin MacLeod,Monkeys Spinning Monkeys
Who Let The Dogs Out,3:17,Baha Men,Who Let The Dogs Out
玛丽医生(乡村民谣版),2:33,Various Artists,最新热歌慢摇96
Mi Mi Mi,3:14,Serebro,100X Zomer 2014
ビンクスの酒 (BONUS TRACK),3:19,田中真弓,ONE PIECE MEMORIAL BEST
Yeah,3:36,OMFG,Yeah
This Must Be Hell (prod. Tau),2:6,VELVETEARS,Hikikomori
天国と地狱,1:46,Jacques Offenbach,Jubeat O.S.T
Electric Romeo,2:28,Immediate Music,Themes for Orchestra and Choir 2 - Abbey Road
El Dorado (Dubstep Remix),3:5,Two Steps From Hell,Burn
杀死那个石家庄人（翻自 万能青年旅店）,4:30,千里狗,Cover 0
Shelter (Acoustic Cover),2:50,Shiki,Shelter
海の形,4:10,昙轩,海の形
The Mass,3:41,Era,The Mass
Happy Tree Friends,1:6,Ashsha Kin,最新热歌慢摇93
日 暮 温 柔,1:39,Riva,日 暮 温 柔
Okamochi & Jersey,1:17,佐藤直紀,交響詩篇エウレカセブン ORIGINAL SOUNDTRACK 1
The Story Never Ends (Piano Version),3:49,Lauv,The Story Never Ends (Piano Version)
Porter Robinson / Madeon - Shelter（WYINY remix）,4:14,WYINY,SHELTER
Geronimo (Jost & Damien Radio Mix),3:17,Aura Dione,Before the Dinosaurs
温泉わくわくしんちゃん,0:39,浜口史郎,映画 クレヨンしんちゃん 岚を呼ぶモーレツ!サウンドトラック大全集
Tales of the Electric Romeo,4:1,Immediate,Trailerhead: Triumph
Winter Without You,3:11,Gloria Kim,Winter Without You
Past Lives,2:33,sapientdream,Drowning
アゲイン,2:31,横山克,四月は君の嘘 ORIGINAL SONG & SOUNDTRACK
Summer '17,3:48,christianalexnder,Summer '17
pure imagination,1:44,Rook1e,pure imagination
rain（prod.bycon，feat snow）,3:22,Shining安吉,rain(prod. bycon feat snow）
again,2:37,timmies,again
Main Titles,2:56,Charlie Clouser,Dead Silence (Original Motion Picture Soundtrack)
Can We Kiss Forever?,3:7,Kina,Can We Kiss Forever?
Ritmo,0:41,,
喜洋洋(民乐合奏),2:43,中国广播民族乐团,百年经典12：花好月圆
七剑战歌,6:4,川井憲次,七剑 电影原声大碟
Sakura,1:0,CMJ,Sakura
我们别时和见时不同,5:8,Fur Von （饭碗的彼岸）,我们别时和见时不同
C U Again (Cartoon vs Futuristik VIP),3:22,Cartoon,NCS: The Best of 2016
还是分开,3:46,张叶蕾,还是分开
Drive（翻自 Oh Wonder）,3:14,Biscuits,Drive (Cover)
Careless Whisper,4:57,Sam Levine,Sax In The City
20th Century Fox Fanfare (With CinemaScope Extension),0:20,Alfred Newman,20th Century Fox - 75 Years Of Great Film Music
プレイヤーダウン (スーパーマリオブラザーズ効果音),0:5,近藤浩治,SUPER MARIO HISTORY 1985-2010 サウンドトラック
CONTRACT,0:9,桜庭統,TALES OF PHANTASIA ORIGINAL SOUNDTRACK COMPLETE VERSION
上任弼马温,1:59,许镜清,西游记 电视剧配乐原声
Title Theme,1:8,Ari Pulkkinen,Angry Birds
Cradles,3:29,Sub Urban,Cradles
Nyan Cat,3:46,daniwellP,Nyan Cat
The Spook,4:2,KSHMR,The Spook
氷だらけのアイスコーヒー,3:37,Foxtail-Grass Studio,Remember*C -summer-
賭神,0:45,卢冠廷,赌神 电影原声
so far away,2:9,elijah who,new feelings
囍（Chinese Wedding）,3:36,葛东琪,囍（Chinese Wedding）
Don't Worry Be Happy,3:32,Holly Dolly,Pretty Donkey Girl
50 Feet,3:5,SoMo,50 Feet
未完成,1:22,不知春去,未完成
七夕（弹唱版）（翻自 许嵩）,0:33,向文涛,Cover 6
Wonderful U (Demo Version),4:8,AGA,Ginadoll
想自由,0:42,千里狗,Cover 2
짜라빠빠,2:13,YJ Family,참 좋은 최신 유아동요 베스트80 CD2
浙江温州江南皮革厂倒闭了,1:36,女孩为何穿短裙,浙江温州江南皮革厂倒闭了
CCTV新闻联播片头,0:18,孟卫东,热门华语7
無責任な守護者,2:9,根岸貴幸,カードキャプターさくら オリジナル・サウンドトラック2
心墙,3:47,吴大文,心墙
相见恨晚,0:39,留有声,这一生关于你的风景
Undress Rehearsal,3:34,Timeflies,Just For Fun (Deluxe)
雨 因你而下，于你而止,2:12,Seto,雨 因你而下，于你而止
Disco Inferno,3:32,50 Cent,The Massacre (Ecopac Reissue Explicit)
你能把我怎么样,0:40,吾酷,我赚钱了
Lover Boy 88,3:16,Higher Brothers,Lover Boy 88
Peppa Pig,3:4,Hugekilla,Peppa Pig
木ノ葉丸のテーマ,1:37,増田俊郎,NARUTO-ナルト-オリジナルサウンドトラックII
再见,1:31,四只烤翅,再见
忽而今夏,1:14,耳朵玥,叹气会让幸福溜走的
Patience,1:45,TRA$H,AWAKE Vol. 2
猪突猛進,1:30,百石元,冴えない彼女の育てかた 第2巻 特典CD
アスレチックBGM (スーパーマリオブラザーズ3),1:13,近藤浩治,SUPER MARIO HISTORY 1985-2010 サウンドトラック
The Official Hamster Dance Song,3:33,Hampton the Hampster,最新热歌慢摇109
おやすみ,0:12,Falcom Sound Team J.D.K.,オリジナル・サウンドトラック Ｚｗｅｉ!!
to the seaside...,1:35,silky soap,Remember that one time​.​.​.
Theme from Mission: Impossible,1:2,Danny Elfman,Mission Impossible [Original Score]
男儿当自强 (主题音乐),2:55,黄霑,黄飞鸿系列电影原声精装版
nostalgia,2:1,Inteus,nostalgia
Day Dreamin',2:43,Kondor,Beyond the Clouds
这一秒只想在爱里沉溺（治愈《恋愛の資格》日语念白-溯 (Reverse).feat,2:41,邓壬鑫,夜の钢琴III
AME TO SAKURA,2:40,Seto,❀
comethru,3:1,Jeremy Zucker,"summer,"
除了春天爱情和樱花（铃声版）（翻自 High4）,0:14,刘星宇,除了春天爱情和樱花
晚安,1:2,陈阳,阳阳的弹唱第五弹
最甜情歌,2:58,红人馆,迷人的宝贝
Listen,3:38,ONE OK ROCK,Ambitions [日本盤]
Legends Never Die（By Cool大魔王丶）,3:53,安约翰,Legends Never Die
市集,1:33,胡伟立,武侠音乐精装特辑
月光の雲海,2:33,久石譲,天空の城ラピュタ サウンドトラック ―飛行石の謎―
Theme of False Emperor,1:7,澤田朋伯,三国志大戦 Original Sound Track
Ther,5:9,Kraffa,Short note from time
Stitches,3:26,Shawn Mendes,Handwritten (Deluxe)
If We Have Each Other,3:1,Alec Benjamin,Narrated For You
ブタのヒヅメしんちゃん,1:6,荒川敏行,映画 クレヨンしんちゃん 岚を呼ぶモーレツ!サウンドトラック大全集
Rescue Me,2:39,OneRepublic,Rescue Me
Jesus In LA,2:51,Alec Benjamin,Jesus In LA
美卷入画（翻自 小可乐）,0:29,千里狗,Cover 8
别渴望,3:8,老田,别问
一个,3:45,陈壹千,二十出头
nothing on you,1:27,陳梦嘉,有 趣 的 那 種
Lucky One,2:37,mich,Lucky One
今晚去嗨之运动员进行曲,2:30,Danger Target,今晚去嗨
Classico,0:58,Tenacious D,The Pick Of Destiny
春之声圆舞曲,3:30,Johann Strauss II,发烧古典珍藏 世界著名华尔兹
听见星星光芒碎裂的声音,4:14,温野,听见星星光芒碎裂的声音
Hands in the Fire,2:56,James Carter,Hands in the Fire
마지막 선택,1:16,崔成旭,미안하다 사랑한다 OST - Vol.2 : Never Ending Story
SCARSONG,2:2,flash8,最新热歌慢摇3
Le Papillon,3:8,Nicolas Errèra,Le Papillon
Each New Day,2:43,Rose Melberg,Cast Away the Clouds
confession,5:33,eel.,confession
Old Town Road,1:53,Lil Nas X,Old Town Road
匈牙利圆舞曲,2:18,Johannes Brahms,发烧古典珍藏 世界著名华尔兹
American Patrol,2:30,コナミ矩形波倶楽部,A9VG 怀旧游戏音乐精选100
エンターテイナー,1:39,Scott Joplin,太鼓の達人 オリジナルサウンドトラック 「サントラ2008」
my cute anime girlfriend,0:56,eel.,deleted
La Marseillaise,1:3,Various Artists,World Military Marches Vol.1
March of the Toreadors from Carmen Suite No. 1,2:30,Leonard Bernstein,Grandes Marches
afraid,3:39,eel.,afraid
I've got her to love,2:31,Elijah Who,I've got her to love
Ground Stage BGM,1:28,近藤浩治,Super Mario Bros Collection-Mario 20th Anniversary
Crazy Jodeling,2:56,Crazy Frog,More Crazy Hits: Ultimate Edition
Yankee Doodle,2:11,Bill Conti,North And South
Dissolve,4:33,Absofacto,Dissolve
ハイグレしんちゃん,1:4,荒川敏行,映画 クレヨンしんちゃん 岚を呼ぶモーレツ!サウンドトラック大全集
young luv,1:18,Rook1e,young luv
今晚去嗨之葫芦娃,1:5,Danger Target,今晚去嗨
Trap Queen,5:16,MKJ,Trap Queen
温泉わくわくしんちゃん,0:39,浜口史郎,映画 クレヨンしんちゃん 岚を呼ぶモーレツ!サウンドトラック大全集
Schnappi,2:9,Joy Gruttmann,Schnappi und Seine Freunde
a thousand years (lullaby),2:51,Christina Perri,songs for carmella: lullabies & sing-a-longs
and i love you so,1:19,Rook1e,and i love you so
Ein Lama in Yokohama,2:0,Joy Gruttmann,Schnappi und Seine Freunde
i'm sorry i really am,1:9,eel.,i'm sorry i really am
Epic Sax Guy,2:11,Sunstroke Project,最新热歌慢摇90
果汁分你一半（翻自 花儿乐队）,1:10,一只怪兽叭,送给奥特曼
冬眠 王巨星,0:17,王巨星,冬眠
王巨星《关键词》,0:24,王巨星,王巨星的翻唱集
关键词（女版）（翻自 林俊杰）,0:37,坠,关键词（女版）（翻自 林俊杰）
Bulletproof,3:30,Griffin Oskar,Hostage
BGM1,0:44,コナミ矩形波倶楽部,Circus Charlie
Ri-Ra-Rad,2:25,Joy Gruttmann,Schnappi und Seine Freunde
Slow Fade,3:31,Ruth B.,Slow Fade
Shotgun,2:54,Us The Duo,Shotgun
Sieben Hummeln,2:8,Joy Gruttmann,Schnappi und Seine Freunde
帝国のマーチ(ダース･ベイダーのテーマ),2:51,栗コーダーカルテット,ウクレレ栗コーダー
こなたのテーマ、沖縄バージョン,0:40,神前暁,らき☆すた BGM&ラジオ番組「らっきー☆ちゃんねる」のダイジェストを収録したスペシャルCD5
パティのテーマ,0:57,神前暁,らき☆すた BGM&ラジオ番組「らっきー☆ちゃんねる」のダイジェストを収録したスペシャルCD9
Fever~Fever クリア (ドクターマリオ),1:38,たなかひろかず,MARIO THE MUSIC：NINTENDO SOUND HISTORY SERIES
Bikini Body,3:47,Dawin,Sunday
Happy Birthday,0:32,The Singing Butts,Unplugged
Minions Pick up Right Now,0:28,The Funny Tone Guy,Minions Pick up Right Now
Reckless,3:57,healy,Reckless
Bossa No Sé,3:21,Cuco,Bossa No Sé
哆啦A梦,0:29,杉田智和,最新热歌慢摇101
XXXTentacion,2:20,Haiwee,Sad ( 吉他版 ）
whoa (mind in awe),2:37,XXXTENTACION,SKINS
she was a pretty one,2:58,lanie ❀,she was a pretty one
Mona Lisa,2:37,VALNTN,Mona Lisa
Bubble Gum,2:55,Clairo,Bubble Gum
breathe slow,2:19,Rook1e,breathe slow
우주를 줄게,3:35,脸红的思春期,Full Album RED PLANET
"Spongebob Remix ""Krusty Krab""",2:0,Eugene The Dream,"Spongebob Remix ""Krusty Krab"""
It's You,3:32,Ali Gatie,It's You
I Don't Sleep,1:43,Sarcastic Sounds,I Don't Sleep
Shadow of the Sun,2:25,Max Elto,Taped Rai
我被堵在爱情的死胡同,2:48,徐锦辉,我所热爱的世界与你
ᐇ,1:19,Seto,ᐇ
Get You The Moon,2:59,Kina,Get You The Moon (The Remixes)
infinity II,2:33,Kanashi,infinity II
tenacious,2:34,anthoknee,tenacious
Asphyxia,5:9,逆时针向,asphyxia
us,2:10,4oot,us
Ocean Eyes,3:22,Billie Eilish,Ocean Eyes
Town,0:58,Namco Sound Team,THE IDOLM@STER BEST OF 765+876=!! BGM COLLECTION
Dr.Mario (ドクターマリオ)［DX］,2:29,酒井省吾,大乱闘スマッシュブラザーズ for WiiU/NINTENDO 3DS マリオ
Bedford Falls,3:23,ford,Bedford Falls
Can Can,2:14,Harry Mortimer,Best Of Brass Bands
Overture (William Tell),2:26,André Rieu,The 100 Most Beautiful Melodies (6 CD Box Set)
Worst of You,3:17,Maisie Peters,Worst of You
You Promised You'd Never Forget Me,3:8,Senbeii,You Promised You'd Never Forget Me
å¹»å¬ è¤ä¸okç,2:27,粥粥和小伙,幻听
樱花草 (翻自 sweety),3:51,苏白睡醒啦,樱花草
Galway Girl,2:50,MADILYN,Galway Girl
fish in the pool・花屋敷,4:36,ヘクとパスカル,fish in the pool
美国巡逻兵进行曲,3:4,Various Artists,最新热歌慢摇12
Airplane Mode (Instrumental),2:44,limbo,Airplane Mode
Losing Me,3:0,Gabrielle Aplin,Losing Me
Two Punks In Love,3:15,Bülow,Two Punks In Love
hostage,3:49,Billie Eilish,dont smile at me
馬鹿ふたり,2:28,折戸伸治,CLANNAD ORIGINAL SOUNDTRACK
ひやむぎ、そーめん、时々うどん,4:26,ハム,麺
糖分とらねぇとなぁー,1:26,Audio Highs,銀魂　オリジナル・サウンドトラック
ほえ?,1:31,根岸貴幸,カードキャプターさくら オリジナル・サウンドトラック
i want to be with you,1:0,REASON,i want to be with you
N↓DA↑GI↑NA↓DA☆,1:31,井内啓二,TVアニメ「アウトブレイク・カンパニー」オリジナルサウンドトラック
我还有点糊涂（弹唱版熊出没主题曲）（翻自 刘晨）,1:13,陈阳,阳阳的弹唱第三弹
Katie Sky-Monsters（DryJo remix）,2:10,DryJo,when u are not around.
Young Dumb & Broke,3:19,Khalid,American Teen
One Thing,3:17,One Direction,One Thing
像你这样的大师,1:24,于泓,生肖传奇之十二生肖总动员动漫原声带
never mind,2:24,feeniks,never mind
her,2:17,savior,her
Moody,3:9,Savannah Sgro,Moody
Trampoline,3:4,Shaed,You Got Me Like
沢の河城工務店,2:19,Foxtail-Grass Studio,ときかけエオリア
i don't love you anymore,1:47,erc grcc,i don't love you anymore
Crystal Ball,3:27,Lenka,Attune
琴师,4:21,要不要买菜,琴师
多情种（母带版）,3:35,要不要买菜,多情种
阿冗-别想TA（FOMY remix）,6:24,FOMY,别想他
summertime（acoustic ver.）,0:32,麦吉_Maggie,summertime（Arrange ver.）
50 Ways to Say Goodbye,4:7,Train,California 37
MELANCHOLY,2:8,White Cherry,MELANCHOLY
Everybody,3:29,Ingrid Michaelson,Everybody
Valder Fields,2:38,Tamas Wells,A Plea en Vendredi
I Remember,2:48,MOCCA,My Diary
ぷわぷわり,1:36,中山真斗,となりの怪物くん サウンドトラック
ぐーたら生活,1:13,三澤康広,TVアニメ「干物妹!うまるちゃん」オリジナル・サウンドトラック
いいのかな？,1:30,水谷広実,TVアニメ のんのんびより オリジナルサウンドトラック
西班牙斗牛士,4:41,欧翠峰,永恒的号角
フンフンフン♪だよ、らき☆すた,1:39,神前暁,らき☆すた BGM&ラジオ番组「らっきー☆ちゃんねる」のダイジェストを収录したスペシャルCD1
何かがおかしい,1:40,神前暁,涼宮ハルヒの憂鬱 サウンドトラック & ラジオ番組「涼宮ハルヒの憂鬱 SOS団ラジオ支部 ダイジェスト 02」CD
Aloha Heja He,4:3,Achim Reichel,Melancholie und Sturmflut (Bonus Tracks Edition)
やったー！,1:30,水谷広実,TVアニメ のんのんびより オリジナルサウンドトラック
かわいいひと,1:40,CHAI,PINK
See It Again,4:7,Loud Luxury,See It Again
これがオタクの生きる道,1:35,神前暁,俺の妹がこんなに可爱いわけがない オリジナルサウンドトラック
Alibi,3:35,Krewella,Alibi
God Is a Girl,3:4,Groove Coverage,God Is a Girl
Lil' Goldfish,5:39,Marika,Nao'ymt wit'-1st Season-
放逐之刃 - 锐雯,3:9,安约翰,LOL合辑
Ascension (XI Vayne Mix),3:41,Xi,Ascension (Mix)
☁,2:37,FAT TIGER,☁
小心な侵入者,1:36,根岸貴幸,カードキャプターさくら オリジナル・サウンドトラック4
ドラえも～ん！,5:15,菊池俊輔,ドラえもん Sound Track History~菊池俊輔 音楽集~
Utopia Scapes,8:14,別野加奈,Seaside Florist
Before Spring Ends,2:58,王OK,Before Spring Ends
"Run, Run, Run...",4:59,Emme Packer,Joy. The Machine.
A Great Escape,3:57,Satellite Stories,Pine Trails
Calendar Girl,4:7,Stars,Set Yourself on Fire
My Love Mine All Mine,2:17,Mitski,The Land Is Inhospitable and So Are We
Booty Music,3:1,Deep Side,Git Fresh
time machine (feat. aren park),3:45,mj apanay,seen 11:23 pm
Lets Escape,3:14,sohayl ryder,Lets Escape
pt2,3:46,ewonjin,pt2
A Great Escape (Acoustic Version),3:50,Satellite Stories,Pine Trails
Tombstone Grey,2:48,JAWNY,The Story Of Hugo
wooden home,6:53,"never,forever.",wooden home
YOU feat. kazami,4:57,TSUTCHIE,samurai champloo music record masta
1 more thing,2:41,Eatmyflesh,Denni$ Gothman Flesh City
Loving Hannah,3:18,Isobel Campbell,Milk White Sheets
Tek It (Sped Up),2:46,Cafuné,Tek It (I Watch the Moon)
Surround Sound,3:49,JID,The Forever Story (Extended Version)
catch me,2:57,JVKE,this is what ____ feels like (Vol. 1-4)
tate,3:37,AVALON,tate
Payphone,3:52,Maroon 5,Payphone
i won't let you feel alone again,2:28,Demxntia,i won't let you feel alone again
落下(いっぱつにゅうこんver.),2:46,日向文,cry
水星,4:23,ラブリーサマーちゃん,LSC
染まるよ,3:39,チャットモンチー,チャットモンチー BEST～2005-2011～
